text,perfectionism,fear_of_failure,lack_of_interest,environment_distraction,dopamine_addiction
IГўв‚¬в„ўm tempted to just keep playing video games.,0,0,0,0,1
IГўв‚¬в„ўm just trying to get organized.,0,0,0,0,1
"I should really be working on that project, but it just seems overwhelming.",0,1,0,0,0
I'm procrastinating because I don't feel like doing this work.,0,0,1,0,0
I just want to relax and enjoy myself.,0,0,0,1,0
IГўв‚¬в„ўm admiring my progress and wanting to maintain it.,1,0,0,0,0
I'm fascinated by the creative process.,0,0,0,1,0
I keep putting off cleaning because I hate doing it.,0,0,1,0,0
I just want to distract myself from my problems.,0,0,0,0,1
IГўв‚¬в„ўm afraid of making mistakes.,0,1,0,0,0
IГўв‚¬в„ўm admiring how perfect the result could have been.,1,0,0,0,0
"It's just too complicated, I donГўв‚¬в„ўt understand it.",0,0,1,0,0
"IГўв‚¬в„ўm feeling a sense of approval about my efforts, but I procrastinate.",1,0,0,0,0
I'm feeling remorse for not starting sooner.,0,1,0,0,0
I just need a little break before I tackle this.,0,0,0,1,0
"IГўв‚¬в„ўm procrastinating, I feel overwhelmed and drained.",0,0,0,1,0
I just want to avoid dealing with this difficult problem.,0,1,0,0,0
I procrastinate because I am simply avoiding a difficult task.,0,0,1,0,0
I'm putting off fixing that leaky faucet.,0,0,1,0,0
"I admire my brotherГўв‚¬в„ўs discipline, and I wish I had it.",1,0,0,0,0
I'm curious to see how others are handling their work.,0,0,0,1,0
"I'm annoyed that I haven't started this task, and I feel guilty.",0,1,0,0,0
I get stuck on minor details and overthink everything.,1,0,0,0,0
I feel guilty for avoiding this task.,0,1,0,0,0
I'm easily distracted by the internet.,0,0,0,1,0
IГўв‚¬в„ўm procrastinating because I don't like the task.,0,0,1,0,0
IГўв‚¬в„ўm frustrated with my tendency to delay.,0,0,0,0,1
I want everything to be flawless before I submit my work.,1,0,0,0,0
I'm disgusted that I haven't progressed on this task.,0,1,0,0,0
I get caught up in planning instead of doing.,1,0,0,0,0
IГўв‚¬в„ўm procrastinating because IГўв‚¬в„ўm losing focus on my goals.,0,0,1,0,0
I feel a sense of pride when I complete a task.,0,0,0,0,1
I'm constantly distracted by notifications.,0,0,0,1,0
I feel a sense of pride in my ability to avoid difficult tasks.,0,0,0,1,0
I feel a sense of pride when I finally get things done.,1,0,0,0,0
I'm annoyed at my procrastination habits.,0,0,0,0,1
"I know I need to do this, but I'm putting it off.",0,0,0,0,1
IГўв‚¬в„ўm procrastinating because IГўв‚¬в„ўm afraid of losing something important.,0,1,0,0,0
IГўв‚¬в„ўm procrastinating because I feel a bit confused about the instructions.,0,0,1,0,0
I procrastinate because I donГўв‚¬в„ўt like focusing on one thing at a time.,0,0,0,0,1
IГўв‚¬в„ўm avoiding this task because it feels pointless.,0,0,1,0,0
I'm so glad I'm taking a break to recharge my energy.,0,0,0,1,0
